Şube;Kredi;Mevduat
Şube_1;535325;5030250
Şube_10;546415;5617620
Şube_100;553350;5537070
Şube_101;554655;5503290
Şube_102;584970;5782380
Şube_103;546595;4913535
Şube_104;561540;5211640
Şube_105;523755;5695385
Şube_106;595350;6085275
Şube_107;552840;5104080
Şube_108;513585;5148980
Şube_109;604760;5688800
Şube_11;600080;6139120
Şube_110;538050;5639580
Şube_111;566400;5159520
Şube_112;605370;5351940
Şube_113;570000;5864000
Şube_114;565470;6118200
Şube_115;598520;5851040
Şube_116;573755;5117720
Şube_117;545500;5352000
Şube_118;557000;5010500
Şube_119;597975;5454225
Şube_12;519690;5951700
Şube_120;616200;5290480
Şube_121;519140;5556515
Şube_122;498465;4991085
Şube_123;560700;6033300
Şube_124;581140;5829530
Şube_125;512820;5789520
Şube_126;514585;5763255
Şube_127;555170;6038890
Şube_128;580320;5681000
Şube_129;501600;5342880
Şube_13;606000;5145445
Şube_130;534240;5393760
Şube_131;522720;4848480
Şube_132;553385;4890255
Şube_133;506000;5927500
Şube_134;481440;5013600
Şube_135;490080;5642400
Şube_136;561000;5608000
Şube_137;531650;5365500
Şube_138;577220;5204290
Şube_139;556320;5723040
Şube_14;510720;5723040
Şube_140;510500;5119500
Şube_141;537000;5366000
Şube_142;547050;5562375
Şube_143;608940;5663040
Şube_144;511335;5777640
Şube_145;536310;5381280
Şube_146;535300;5898400
Şube_147;578605;5660920
Şube_148;538720;5393960
Şube_149;505440;5350080
Şube_15;532950;5042125
Şube_150;590345;5127265
Şube_151;584570;4958800
Şube_152;573270;5610480
Şube_153;628425;5776575
Şube_154;598500;5941500
Şube_155;501930;5790510
Şube_156;595350;5557125
Şube_157;553985;6043335
Şube_158;572220;5840010
Şube_159;545625;4952820
Şube_16;501500;5890000
Şube_160;588555;5424705
Şube_161;560045;5337345
Şube_162;562080;5496960
Şube_163;599460;5840615
Şube_164;577220;5526220
Şube_165;537040;5793760
Şube_166;603225;5343450
Şube_167;566775;5056425
Şube_168;569625;5460525
Şube_169;574690;5259070
Şube_17;525740;5728335
Şube_170;566610;5246950
Şube_171;557650;5181775
Şube_172;577170;5117310
Şube_173;579600;6162450
Şube_174;578225;5300985
Şube_175;591090;5939460
Şube_176;527240;5687430
Şube_177;488880;5022660
Şube_178;578550;5549250
Şube_179;507375;5128695
Şube_18;544440;6165120
Şube_180;580000;5292000
Şube_181;557430;5370300
Şube_182;526240;5828680
Şube_183;591150;5449500
Şube_184;560500;5292500
Şube_185;522725;5597020
Şube_186;586950;5566575
Şube_187;545190;5963940
Şube_188;2521344;9109648,8
Şube_189;2975232;9927684
Şube_19;2788032;9706975,2
Şube_190;2727072;8522253
Şube_191;2496000;8524440
Şube_192;2567016;9206897,4
Şube_193;2369904;9218618,1
Şube_194;2753088;9555343,2
Şube_195;2341560;9013923
Şube_196;2858400;9490770
Şube_197;2810808;9454401
Şube_198;2607120;8766808,2
Şube_199;2392632;9616384,8
Şube_2;2482176;8251356,6
Şube_20;2585520;8778010,5
Şube_200;2702592;8999164,8
Şube_201;2694480;9519363
Şube_202;2830440;8353845,9
Şube_203;2623104;8775191,7
Şube_204;2638080;9062928
Şube_205;2447280;8658916,2
Şube_206;2663496;8624434,5
Şube_207;2550912;10030456,8
Şube_208;2587800;8360617,5
Şube_209;2377872;8180109
Şube_21;2847744;9027126
Şube_210;2553264;8538777
Şube_211;2685984;9517662
Şube_212;2778480;9159253,2
Şube_213;2720040;7878141
Şube_214;2509056;9059866,2
Şube_215;2412000;9072810
Şube_216;2573088;8403960,6
Şube_217;2495616;8381847,6
Şube_218;2710032;9740298,6
Şube_219;2520000;9075240
Şube_22;2822688;8229097,8
Şube_220;2746392;9449873,1
Şube_221;2605488;8742629,7
Şube_222;2469240;8385241,5
Şube_223;2595600;9205812
Şube_224;2787120;8635750,2
Şube_225;2643648;8211861
Şube_226;2660112;8138831,4
Şube_227;2674704;9770487,3
Şube_228;2840928;8744670,9
Şube_229;2768640;9066338,1
Şube_23;2400168;8271063,9
Şube_230;2865168;8722582,2
Şube_231;2787120;9096097,5
Şube_232;2934264;9615307,5
Şube_233;2577600;8705880
Şube_234;2386944;8227008
Şube_235;2689536;9542723,4
Şube_236;2690640;8239903,2
Şube_237;2734416;8312398,2
Şube_238;2653248;8885635,2
Şube_239;2905776;9254266,2
Şube_24;2842128;9374891,4
Şube_240;2376888;9025335,9
Şube_241;2955960;9387819
Şube_242;2625192;9059639,4
Şube_243;2532864;8742483,9
Şube_244;2436672;9196966,8
Şube_245;2592000;8690490
Şube_246;2977728;9920944,8
Şube_247;2983680;9559620
Şube_248;2529600;9129510
Şube_249;2746392;8282444,4
Şube_25;3013920;9196456,5
Şube_250;2594400;8983710
Şube_251;2740800;9125460
Şube_252;2452032;8605188,9
Şube_253;2528784;9485602,2
Şube_254;2523888;9067545
Şube_255;2406096;8449207,2
Şube_256;2903328;9079938
Şube_257;2649600;8971171,2
Şube_258;2661600;8779590
Şube_259;2944152;9253221,3
Şube_26;2673720;9529002
Şube_260;2612736;8928403,2
Şube_261;2464800;9249390
Şube_262;2956512;8459802
Şube_263;2456784;8437591,8
Şube_264;2820312;8220276,9
Şube_265;2645040;9002931,3
Şube_266;2515968;8359977,6
Şube_267;2528232;8700493,5
Şube_268;2724576;9691212,6
Şube_269;2709504;8828870,4
Şube_27;2677200;9383615,1
Şube_270;2755584;9670752
Şube_271;2375424;9199785,6
Şube_272;2654928;9243209,7
Şube_273;2971080;9441400,5
Şube_274;2925720;9792657
Şube_275;2523384;8806846,5
Şube_276;2760576;9226807,2
Şube_277;2521344;9094566,6
Şube_278;1051218;25608375
Şube_279;1069534,125;23274880,2
Şube_28;1105447,5;24444248,4
Şube_280;1062659,25;26005098,6
Şube_281;1127763;24601262,4
Şube_282;1195762,5;27944280
Şube_283;1221480;28504756,8
Şube_284;1086412,5;27478620
Şube_285;1127520;26756870,4
Şube_286;1055389,5;28698251,4
Şube_287;1139862,375;26374818,6
Şube_288;1137300,75;27012889,8
Şube_289;1180575;24490440
Şube_29;1023435;22725729
Şube_290;1084529,25;23381467,2
Şube_291;1188816,75;27611555,4
Şube_292;1189819,125;23522756,4
Şube_293;1083567,375;25204608
Şube_294;1086696;25617945,6
Şube_295;1048909,5;26688308,4
Şube_296;1123176,375;26714656,8
Şube_297;1065524,625;26260977,6
Şube_298;1036152;24995692,8
Şube_299;1158745,5;24058944
Şube_3;1221480;24530688
Şube_30;1094512,5;26774280
Şube_300;1224720;27361152
Şube_301;995874,75;24472983,6
Şube_302;1068896,25;28348023,6
Şube_303;1147385,25;26178422,4
Şube_304;1074819,375;28958202
Şube_305;1051855,875;26173063,8
Şube_306;1060603,875;27755863,2
Şube_307;1190760,75;26374140
Şube_308;1113750;27017640
Şube_309;1060715,25;24007510,8
Şube_31;1011396,375;26399973,6
Şube_310;1126355,625;24250707
Şube_311;1115370;24574492,8
Şube_312;1118660,625;23128092
Şube_313;1108687,5;25882740
Şube_314;1145664;25260768
Şube_315;1155961,125;24450285,6
Şube_316;1151364,375;23983947
Şube_317;1025358,75;24908715
Şube_318;1072733,625;23893974
Şube_319;1100344,5;24610084,2
Şube_32;1221206,625;28842863,4
Şube_320;962836,875;26264745
Şube_321;1075275;27612000
Şube_322;1113091,875;29370978
Şube_323;1096436,25;27156074,4
Şube_324;1047927,375;26023257
Şube_325;1199022,75;26662942,8
Şube_326;1141229,25;23946390
Şube_327;1112737,5;24513840
Şube_328;1087718,625;25162488
Şube_329;1033762,5;24789960
Şube_33;1226127,375;27018388,8
Şube_330;1138860;24432993
Şube_331;1166886;26938220,4
Şube_332;1005696;22847806,8
Şube_333;1156943,25;24305018,4
Şube_334;1068187,5;24658920
Şube_335;1103220;25444972,8
Şube_336;1122660;25087795,2
Şube_337;1068643,125;25188813
Şube_338;1129950;27513720
Şube_339;1252017;24496617,6
Şube_34;1120584,375;24164010
Şube_340;1070516,25;22956757,2
Şube_341;1060512,75;27623138,4
Şube_342;1270434,375;27098253
Şube_343;1056138,75;23390406
Şube_344;1029348;23479372,8
Şube_345;1108525,5;25557807,6
Şube_346;1140226,875;23648180,4
Şube_347;1225874,25;24409803,6
Şube_348;1188290,25;25976129,4
Şube_349;1038106,125;24783946,2
Şube_35;1165387,5;25754040
Şube_350;1120392;28144584
Şube_351;1129180,5;27133142,4
Şube_352;1025429,625;25524298,8
Şube_353;1041012;27500709,6
Şube_354;1134354,375;24672726
Şube_355;1152002,25;25305462
Şube_356;1189687,5;26697060
Şube_357;1032091,875;26113581
Şube_358;1102977;26748867,6
Şube_359;1077553,125;25790707,8
Şube_36;1063692;24509721,6
Şube_360;1259388;24995505,6
Şube_361;1192725;23669100
Şube_362;1073756,25;26044668
Şube_363;1147162,5;26309743,2
Şube_364;1124219,25;26649581,4
Şube_365;1026320,625;25582915,8
Şube_366;1061646,75;27770324,4
Şube_367;1070172;25757222,4
Şube_368;1677775,05;15991808
Şube_369;1700837,25;20067600
Şube_37;1887240,55;17414016
Şube_370;1843199,5;17737216
Şube_371;1763531,55;18675360
Şube_372;1853212,5;16643136
Şube_373;1734170,85;16625024
Şube_374;1945961,95;19222320
Şube_375;1908025,6;17698304
Şube_376;1556601,6;16604160
Şube_377;1715291,5;17069600
Şube_378;1744200;16538112
Şube_379;1620168;16803840
Şube_38;2024725,5;18879840
Şube_380;1607280,3;18284112
Şube_381;1766535,45;17441488
Şube_382;1939938;18582480
Şube_383;1819539,75;19195680
Şube_384;1605245,4;16221744
Şube_385;1594747,9;18555712
Şube_386;1871381,25;17829712
Şube_387;1663676,1;16902832
Şube_388;1944330,8;17814784
Şube_389;1912515,3;19438752
Şube_39;1866390,9;17842896
Şube_390;1811949,25;17881280
Şube_391;1917005;16529600
Şube_392;1723334,2;18810272
Şube_393;1795363,2;16994304
Şube_394;1891165;18496000
Şube_395;1694781;18578736
Şube_396;1745944,2;16939296
Şube_397;1807314,2;19249792
Şube_398;1684638,8;18292352
Şube_399;1721428,5;17782480
Şube_4;1876274,7;16989120
Şube_40;2011159,5;19795440
Şube_400;1854746,75;16506368
Şube_401;1993685,2;18169216
Şube_402;1675594,8;15854256
Şube_403;1861933,5;19820640
Şube_404;1682830;18068800
Şube_405;1605713,75;15771424
Şube_406;1883413;17920672
Şube_407;1835092,2;17694144
Şube_408;1877195,25;18464880
Şube_409;1581408;17026560
Şube_41;1702985,2;18491424
Şube_410;1614031;15738080
Şube_411;1813677,3;16776960
Şube_412;1564353,6;17304576
Şube_413;1670798,25;16946480
Şube_414;1632425,85;18984240
Şube_415;1844976;19430592
Şube_416;1713967,2;18773568
Şube_417;1789872,2;18637232
Şube_418;1807443,4;18687424
Şube_419;1697365;16955200
Şube_42;1606844,25;17344800
Şube_420;1963678,5;19751760
Şube_421;1763580;18656768
Şube_422;1598850;18414000
Şube_423;1824820,8;15837696
Şube_424;1601757;17583360
Şube_425;1691777,1;18642336
Şube_426;1689984,45;18011664
Şube_427;1779600,8;17050272
Şube_428;1950855,4;18412704
Şube_429;1742843,4;16796544
Şube_43;1899433,8;16071264
Şube_430;1945961,95;17552992
Şube_431;1810576,5;18545216
Şube_432;1866003,3;15791328
Şube_433;1771655;17916800
Şube_434;1714064,1;15833664
Şube_435;1718133,9;16506048
Şube_436;1732604,3;17879040
Şube_437;1805860,7;17610208
Şube_438;1748269,8;16268064
Şube_439;1543455,5;15692480
Şube_44;1838031,5;16879600
Şube_440;1610041,95;16405488
Şube_441;1826888;16200400
Şube_442;1994202;17759280
Şube_443;1814452,5;18412800
Şube_444;1622267,5;18342464
Şube_445;1795896,15;19186768
Şube_446;1647461,5;18116976
Şube_447;1851662,1;16353424
Şube_448;1670297,6;17431792
Şube_449;1745944,2;18458352
Şube_45;1803099,05;17044064
Şube_450;1763257;19095376
Şube_451;2004376,5;19074720
Şube_452;1748285,95;17369920
Şube_453;1792004;18221760
Şube_454;1809316,8;15997440
Şube_455;1817198;17298592
Şube_456;1855635;17043200
Şube_457;2016246,75;17917200
Şube_458;3008200;29866200
Şube_459;2982025;25303025
Şube_46;2850725;28984475
Şube_460;2434375;24901875
Şube_461;2697750;28952550
Şube_462;3131625;26830125
Şube_463;2652000;24532800
Şube_464;2643550;28079450
Şube_465;2648725;29216775
Şube_466;2670200;26049400
Şube_467;2845000;25792500
Şube_468;2730000;30523500
Şube_469;2777500;25810000
Şube_47;2396375;27839750
Şube_470;2609250;28971250
Şube_471;2549250;28536750
Şube_472;3003900;27616500
Şube_473;2662375;23925750
Şube_474;2631500;24918500
Şube_475;2937550;24884650
Şube_476;2724475;29148600
Şube_477;2631600;28843050
Şube_478;2755200;27172800
Şube_479;3031950;29016450
Şube_48;2882500;29285000
Şube_480;2667600;26501800
Şube_481;2899450;27385125
Şube_482;2955150;29662875
Şube_483;2404800;24535200
Şube_484;3102750;30775500
Şube_485;3000000;25070000
Şube_486;2722500;25020000
Şube_487;2755250;27688975
Şube_488;2645675;28685325
Şube_489;2626500;29954850
Şube_49;2962575;29581200
Şube_490;2868775;26973275
Şube_491;2638400;27043600
Şube_492;2862600;29569800
Şube_493;2987000;28536150
Şube_494;3001350;30452100
Şube_495;2656800;24780000
Şube_496;2889150;30589800
Şube_497;2570500;26539200
Şube_498;2625975;26227575
Şube_5;2785650;28936950
Şube_50;2782500;26027500
Şube_51;2771850;28651800
Şube_52;2431200;25754400
Şube_53;2648250;25195500
Şube_54;2614875;24854375
Şube_55;2635500;26520375
Şube_56;2950000;27595000
Şube_57;2743200;28574400
Şube_58;2603275;28090625
Şube_59;2971925;26578150
Şube_6;2595900;28623750
Şube_60;2922850;26736850
Şube_61;2976750;30216375
Şube_62;2618200;28922400
Şube_63;2873000;29536000
Şube_64;2617500;25080000
Şube_65;2606100;25959000
Şube_66;2631200;30321200
Şube_67;2886100;28089250
Şube_68;2645750;25973000
Şube_69;2790000;25112500
Şube_7;2550750;28274375
Şube_70;2654600;28402400
Şube_71;2614875;23885375
Şube_72;2575350;28394325
Şube_73;2848125;29688750
Şube_74;2873700;28966175
Şube_75;3039750;31072125
Şube_76;2802800;27337100
Şube_77;2913850;26729650
Şube_78;2545200;25469675
Şube_79;2901600;27682200
Şube_8;2636100;28913775
Şube_80;2739825;26593875
Şube_81;2617500;28697500
Şube_82;2812000;24555125
Şube_83;2560800;27120000
Şube_84;2879625;26641125
Şube_85;2812600;26423250
Şube_86;2565000;27172500
Şube_87;2742300;26512200
Şube_88;2709325;29393525
Şube_89;2705000;25565000
Şube_9;2898225;25485075
Şube_90;2904450;28932300
Şube_91;2683200;26565600
Şube_92;3048800;29336975
Şube_93;2668050;25118775
Şube_94;2567925;25381300
Şube_95;2703750;29334400
Şube_96;2906275;26929125
Şube_97;2541600;27904800
Şube_98;2823600;27658800
Şube_99;2727000;28441600
